ko	subunit	brite_entry	threshold	threshold_available	score_type	profile_type	definition
K02943	Large subunit	K02943  RP-LP2, RPLP2; large subunit ribosomal protein LP2	79.67	true	full	all	large subunit ribosomal protein LP2
K02947	Small subunit	K02947  RP-S10e, RPS10; small subunit ribosomal protein S10e	215.73	true	full	all	small subunit ribosomal protein S10e
K02949	Small subunit	K02949  RP-S11e, RPS11; small subunit ribosomal protein S11e	150.83	true	full	all	small subunit ribosomal protein S11e
K02951	Small subunit	K02951  RP-S12e, RPS12; small subunit ribosomal protein S12e	60.53	true	domain	all	small subunit ribosomal protein S12e
K02953	Small subunit	K02953  RP-S13e, RPS13; small subunit ribosomal protein S13e	202.27	true	full	all	small subunit ribosomal protein S13e
K02955	Small subunit	K02955  RP-S14e, RPS14; small subunit ribosomal protein S14e	216.97	true	full	all	small subunit ribosomal protein S14e
K02957	Small subunit	K02957  RP-S15Ae, RPS15A; small subunit ribosomal protein S15Ae	166.33	true	full	all	small subunit ribosomal protein S15Ae
K02958	Small subunit	K02958  RP-S15e, RPS15; small subunit ribosomal protein S15e	184.80	true	full	all	small subunit ribosomal protein S15e
K02960	Small subunit	K02960  RP-S16e, RPS16; small subunit ribosomal protein S16e	158.67	true	full	all	small subunit ribosomal protein S16e
K02962	Small subunit	K02962  RP-S17e, RPS17; small subunit ribosomal protein S17e	25.97	true	domain	all	small subunit ribosomal protein S17e
K02964	Small subunit	K02964  RP-S18e, RPS18; small subunit ribosomal protein S18e	166.27	true	full	all	small subunit ribosomal protein S18e
K02966	Small subunit	K02966  RP-S19e, RPS19; small subunit ribosomal protein S19e	54.50	true	full	all	small subunit ribosomal protein S19e
K02969	Small subunit	K02969  RP-S20e, RPS20; small subunit ribosomal protein S20e	105.53	true	full	all	small subunit ribosomal protein S20e
K02971	Small subunit	K02971  RP-S21e, RPS21; small subunit ribosomal protein S21e	74.73	true	full	all	small subunit ribosomal protein S21e
K02973	Small subunit	K02973  RP-S23e, RPS23; small subunit ribosomal protein S23e	211.80	true	full	all	small subunit ribosomal protein S23e
K02974	Small subunit	K02974  RP-S24e, RPS24; small subunit ribosomal protein S24e	25.33	true	domain	all	small subunit ribosomal protein S24e
K02975	Small subunit	K02975  RP-S25e, RPS25; small subunit ribosomal protein S25e	25.57	true	full	all	small subunit ribosomal protein S25e
K02976	Small subunit	K02976  RP-S26e, RPS26; small subunit ribosomal protein S26e	41.90	true	full	all	small subunit ribosomal protein S26e
K02977	Small subunit	K02977  RP-S27Ae, RPS27A, UBA80; ubiquitin-small subunit ribosomal protein S27Ae	197.83	true	domain	all	ubiquitin-small subunit ribosomal protein S27Ae
K02978	Small subunit	K02978  RP-S27e, RPS27; small subunit ribosomal protein S27e	24.10	true	full	all	small subunit ribosomal protein S27e
K02979	Small subunit	K02979  RP-S28e, RPS28; small subunit ribosomal protein S28e	44.57	true	full	all	small subunit ribosomal protein S28e
K02980	Small subunit	K02980  RP-S29e, RPS29; small subunit ribosomal protein S29e	73.50	true	domain	trim	small subunit ribosomal protein S29e
K02981	Small subunit	K02981  RP-S2e, RPS2; small subunit ribosomal protein S2e	243.00	true	full	all	small subunit ribosomal protein S2e
K02983	Small subunit	K02983  RP-S30e, RPS30; small subunit ribosomal protein S30e	71.80	true	domain	all	small subunit ribosomal protein S30e
K02984	Small subunit	K02984  RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae	67.87	true	full	all	small subunit ribosomal protein S3Ae
K02985	Small subunit	K02985  RP-S3e, RPS3; small subunit ribosomal protein S3e	168.73	true	full	all	small subunit ribosomal protein S3e
K02987	Small subunit	K02987  RP-S4e, RPS4; small subunit ribosomal protein S4e	89.40	true	full	all	small subunit ribosomal protein S4e
K02989	Small subunit	K02989  RP-S5e, RPS5; small subunit ribosomal protein S5e	248.47	true	full	all	small subunit ribosomal protein S5e
K02991	Small subunit	K02991  RP-S6e, RPS6; small subunit ribosomal protein S6e	36.30	true	full	all	small subunit ribosomal protein S6e
K02993	Small subunit	K02993  RP-S7e, RPS7; small subunit ribosomal protein S7e	74.07	true	full	all	small subunit ribosomal protein S7e
K02995	Small subunit	K02995  RP-S8e, RPS8; small subunit ribosomal protein S8e	42.63	true	full	all	small subunit ribosomal protein S8e
K02997	Small subunit	K02997  RP-S9e, RPS9; small subunit ribosomal protein S9e	185.27	true	full	all	small subunit ribosomal protein S9e
K02998	Small subunit	K02998  RP-SAe, RPSA; small subunit ribosomal protein SAe	221.67	true	full	all	small subunit ribosomal protein SAe
