assemblyid	Phylum	primary_lifestyle	organism	Class	Order	taxid	species_taxid	name	strain	BUSCO score	Scaffold N50 (Mb)	scaffoldL50	Genome size (Mb)	tAI_mean	tAI_cubar	diff	sum_protein_lengths	mean_proein_len	tRNAscan-SE mean score	tRNAscan-SE medina score		name	assembly	proteomes	bialka dla Magdy	tabelka serwer	google sheet	czy sa dane
GCA_000149845.2	Ascomycota	nectar/tap_saprotroph	Schizosaccharomyces japonicus yFS275	Schizosaccharomycetes	Schizosaccharomycetales	402676	4897	Schizosaccharomyces japonicus yFS275	strain=yFS275	92.3	3.867	2	11.7	0.117	0.094	0.02	2277407	466.9	59.52	61.80								
GCA_000149925.1	Basidiomycota	plant_pathogen	Puccinia graminis f. sp. tritici CRL 75-36-700-3	Pucciniomycetes	Pucciniales	418459	5297	Puccinia graminis f. sp. tritici CRL 75-36-700-3	strain=CRL 75-36-700-3	85.8	0.965	30	88.7	0.078	0.074	0.00	6308381	394.8	48.27	46.50								
GCA_000150675.2	Ascomycota	plant_pathogen	Verticillium dahliae VdLs,17	Sordariomycetes	Glomerellales	498257	27337	Verticillium dahliae VdLs,17	strain=VdLs,17	91.7	1.274	9	33.9	0.425	0.370	0.05	4984195	473.1	60.13	62.80								
GCA_000151295.1	Blastocladiomycota	soil_saprotroph	Allomyces macrogynus ATCC 38327	Blastocladiomycetes	Blastocladiales	578462	28583	Allomyces macrogynus ATCC 38327	strain=ATCC 38327	83.2	1.115	17	57.1	0.280	0.243	0.04	9381744	482.4	69.46	71.85								
GCA_000151645.1	Ascomycota	ectomycorrhizal	Tuber melanosporum	Ascomycota class incertae sedis	Ascomycota order incertae sedis	39416	39416	Tuber melanosporum	strain=Mel28	95.2	0.639	60	124.9	0.140	0.206	-0.07	3266899	435.8	59.06	60.70								
GCA_000167675.2	Ascomycota	mycoparasite	Trichoderma reesei QM6a	Sordariomycetes	Hypocreales	431241	51453	Trichoderma reesei QM6a	strain=QM6a	99	1.22	9	33.4	0.397	0.352	0.04	4494862	492.7	64.73	65.50								
GCA_000181695.1	Basidiomycota	soil_saprotroph	Malassezia globosa CBS 7966	Malasseziomycetes	Malasseziales	425265	76773	Malassezia globosa CBS 7966	strain=CBS 7966	84.5	0.655	5	9	0.343	0.283	0.06	2068106	482.5	60.64	59.70								
GCA_000182565.2	Chytridiomycota	pollen_saprotroph	Spizellomyces punctatus DAOM BR117	Spizellomycetes	Spizellomycetales	645134	109760	Spizellomyces punctatus DAOM BR117	strain=DAOM BR117	90.4	1.466	7	24.1	0.408	0.346	0.06	4891304	519.1	70.59	72.70								
GCA_000182895.1	Basidiomycota	soil_saprotroph	Coprinopsis cinerea okayama7#130	Agaricomycetes	Agaricales	240176	5346	Coprinopsis cinerea okayama7#130	okayama7#130	92.8	3.468	5	36.2	0.331	0.298	0.03	6166615	461.7	59.59	61.40								
GCA_000182925.2	Ascomycota	unspecified_saprotroph	Neurospora crassa OR74A	Sordariomycetes	Sordariales	367110	5141	Neurospora crassa OR74A	strain=OR74A	95.9	6.001	3	41.1	0.364	0.311	0.05	5632410	520.9	63.29	63.60								
GCA_000182965.3	Ascomycota	nectar/tap_saprotroph	Candida albicans SC5314	Saccharomycetes	Saccharomycetales	237561	5476	Candida albicans SC5314	SC5314	95.7	2.232	3	14.3	0.396	0.334	0.06	2978810	494.0	64.20	64.00								
GCA_000192795.1	Microsporidia	animal_parasite	Vavraia culicis subsp, floridensis	Microsporidea	Glugeida	948595	103449	Vavraia culicis subsp, floridensis	strain=floridensis	19.1	0.094	21	6.1	0.419	0.340	0.08	953920	344.0	72.74	73.00								
GCA_000203795.1	Chytridiomycota	animal_parasite	Batrachochytrium dendrobatidis JAM81	Rhizophydiomycetes	Rhizophydiales	684364	109871	Batrachochytrium dendrobatidis JAM81	strain=JAM81	88.3	1.484	6	24.3	0.384	0.325	0.06	3904006	448.7	70.01	70.55								
GCA_000204055.1	Basidiomycota	plant_pathogen	Melampsora larici-populina 98AG31	Pucciniomycetes	Pucciniales	747676	203908	Melampsora larici-populina 98AG31	strain=98AG31	87.5	1.146	27	101.1	0.398	0.404	-0.01	6113083	373.2	55.59	59.00								
GCA_000209485.1	Microsporidia	animal_parasite	Enterocytozoon bieneusi H348	Microsporidea	Nosematida	481877	31281	Enterocytozoon bieneusi H348	strain=H348	13.1	0.002	136	3.9	0.173	0.154	0.02	866998	238.7	68.50	72.60								
GCA_000218685.1	Basidiomycota	wood_saprotroph	Serpula lacrymans var, lacrymans S7,9	Agaricomycetes	Boletales	578457	85982	Serpula lacrymans var, lacrymans S7,9	strain=S7,9	96.2	2.944	6	42.8	0.030	0.030	0.00	4389877	339.6	53.04	55.40								
GCA_000219625.1	Ascomycota	plant_pathogen	Zymoseptoria tritici IPO323	Dothideomycetes	Capnodiales	336722	1047171	Zymoseptoria tritici IPO323	strain=IPO323	99.3	2.675	6	39.7	0.010	0.015	0.00	4793553	437.2	44.76	45.85								
GCA_000225545.1	Ascomycota	animal_parasite	Arthrobotrys oligospora ATCC 24927	Orbiliomycetes	Orbiliales	756982	13349	Arthrobotrys oligospora ATCC 24927	ATCC 24927	98	2.037	8	40.1	0.323	0.271	0.05	5722957	498.6	58.20	59.55								
GCA_000230595.3	Microsporidia	animal_parasite	Edhazardia aedis USNM 41457	Microsporidea	Amblyosporida	1003232	70536	Edhazardia aedis USNM 41457	strain=USNM 41457	18.5	0.434	35	51.3	0.202	0.159	0.04	1478598	352.9	68.25	70.50								
GCA_000230625.1	Ascomycota	animal_parasite	Exophiala dermatitidis NIH/UT8656	Eurotiomycetes	Chaetothyriales	858893	5970	Exophiala dermatitidis NIH/UT8656	NIH/UT8656	98.9	3.624	4	26.4	0.499	0.420	0.08	4789323	500.0	56.78	60.10								
GCA_000231115.1	Microsporidia	animal_parasite	Vittaforma corneae ATCC 50505	Microsporidea	Nosematida	993615	42399	Vittaforma corneae ATCC 50505	strain=ATCC 50505	15.7	0.115	9	3.2	0.508	0.431	0.08	714778	319.2	70.99	71.40								
GCA_000250985.1	Microsporidia	animal_parasite	Nematocida parisii ERTm1	Microsporidea	Ovavesiculida	881290	586133	Nematocida parisii ERTm1	strain=ERTm1	19.7	0.65	3	4.1	0.463	0.394	0.07	976295	366.9	72.75	71.90								
GCA_000277815.3	Microsporidia	animal_parasite	Encephalitozoon hellem ATCC 50504	Microsporidea	Nosematida	907965	27973	Encephalitozoon hellem ATCC 50504	strain=ATCC 50504	23.3	0.2	6	2.3	0.499	0.443	0.06	667456	346.2	70.79	71.45								
GCA_000280035.2	Microsporidia	animal_parasite	Encephalitozoon romaleae SJ-2008	Microsporidea	Nosematida	1178016	571949	Encephalitozoon romaleae SJ-2008	strain=SJ-2008	23	0.195	6	2.2	0.491	0.426	0.06	648055	353.9	70.99	71.65								
GCA_000292625.1	Basidiomycota	 wood_saprotroph	Dacryopinax primogenitus	Dacrymycetes	Dacrymycetales	1858805	1858805	Dacryopinax primogenitus	strain=DJM-731 SS1	93.7	1.233	10	29.5	0.368	0.369	0.00	4133954	403.7	58.25	60.55								
GCA_000316135.1	Microsporidia	animal_parasite	Trachipleistophora hominis	Microsporidea	Glugeida	72359	72359	Trachipleistophora hominis		16.2	0.05	46	8.5	0.308	0.302	0.01	922076	287.1	71.90	71.55								
GCA_000328475.2	Basidiomycota	plant_pathogen	Ustilago maydis 521	Ustilaginomycetes	Ustilaginales	5270	5270	Ustilago maydis 521	521	97.7	0.885	7	19.7	0.430	0.372	0.06	3999663	589.7	60.26	61.35								
GCA_000383075.1	Microsporidia	animal_parasite	Nosema bombycis CQ1	Microsporidea	Nosematida	578461	27978	Nosema bombycis CQ1	strain=CQ1	18.2	0.057	47	15.7	0.383	0.301	0.08	1109465	248.3	68.14	70.30								
GCA_000385875.2	Microsporidia	animal_parasite	Anncaliia algerae PRA339	Microsporidea	Neopereziida	1288291	723287	Anncaliia algerae PRA339	strain=PRA339	16.6	0.072	36	12.2	0.459	0.358	0.10	957359	266.1	72.07	71.80								
GCA_000400465.1	Basidiomycota	unspecified_saprotroph	Wallemia ichthyophaga EXF-994	Wallemiomycetes	Wallemiales	1299270	245174	Wallemia ichthyophaga EXF-994	strain=EXF-994	89.5	0.437	9	9.7	0.356	0.311	0.04	2346595	482.3	56.36	58.70								
GCA_000439145.3	Glomeromycota	arbuscular_mycorrhizal	Rhizophagus irregularis DAOM 181602=DAOM 197198	Glomeromycetes	Glomerales	747089	588596	Rhizophagus irregularis DAOM 181602=DAOM 197198	strain=DAOM 197198	94.7	0.336	129	136.7	0.262	0.231	0.03	8526813	326.1	58.78	58.55								
GCA_000442015.1	Rozellomycota	mycoparasite	Rozella allomycis CSF55	Rozellomycetes	Rozellales	988480	281847	Rozella allomycis CSF55	strain=CSF55	60	0.058	52	11.9	0.412	0.380	0.03	2473068	389.5	69.61	70.80								
GCA_000447185.1	Microsporidia	animal_parasite	Nosema apis BRL 01	Microsporidea	Nosematida	1037528	35231	Nosema apis BRL 01	strain=BRL 01	13.9	0.024	90	8.6	0.386	0.297	0.09	757312	274.0	71.64	71.40								
GCA_000708205.1	Basidiomycota	plant_pathogen	Mixia osmundae IAM 14324	Mixiomycetes	Mixiales	764103	34349	Mixia osmundae IAM 14324	strain=IAM 14324	87	1.195	5	13.6	0.398	0.254	0.14	3430757	500.3	48.19	49.55								
GCA_000711695.1	Basidiomycota	wood_saprotroph	Tilletiaria anomala UBC 951	Exobasidiomycetes	Georgefischeriales	1037660	5281	Tilletiaria anomala UBC 951	strain=UBC 951	88.2	0.127	43	18.7	0.373	0.326	0.05	3543999	520.6	58.91	58.65								
GCA_000738915.1	Microsporidia	animal_parasite	Nematocida sp, 1 ERTm6	Microsporidea	Ovavesiculida	1138374	1155007	Nematocida sp, 1 ERTm6	strain=ERTm6	19.5	0.797	3	4.3	0.440	0.378	0.06	959887	394.5	73.09	71.90								
GCA_000739165.1	Mortierellomycota	soil_saprotroph	Podila verticillata NRRL 6337	Mortierellomycetes	Mortierellales	1069443	78898	Podila verticillata NRRL 6337	strain=NRRL 6337	95.6	2.912	6	41.9	0.369	0.317	0.05	6515265	517.3	69.15	71.50								
GCA_000760515.2	Microsporidia	animal_parasite	Mitosporidium daphniae	Microsporidea		1485682	1485682	Mitosporidium daphniae	strain=UGP3	32	0.032	50	5.6	0.350	0.292	0.06	1273720	382.5	69.27	69.40								
GCA_000803265.1	Microsporidia	animal_parasite	Ordospora colligata OC4	Microsporidea	Nosematida	1354746	174685	Ordospora colligata OC4	strain=OC4	21.8	0.229	5	2.3	0.493	0.416	0.08	647542	355.8	71.25	71.00								
GCA_000827485.1	Basidiomycota	ectomycorrhizal	Amanita muscaria Koide BX008	Agaricomycetes	Agaricales	946122	41956	Amanita muscaria Koide BX008	strain=Koide BX008	94.6	0.168	54	40.7	0.292	0.235	0.06	5915226	326.9	62.82	65.00								
GCA_000938895.1	Mucoromycota	mycoparasite	Parasitella parasitica	Mucoromycetes	Mucorales	35722	35722	Parasitella parasitica	strain=CBS 412,66 substr, NGI-315 ade-	96.1	0.163	73	44.9	0.408	0.319	0.09	5800528	432.6	63.66	67.90								
GCA_000950595.1	Mucoromycota	soil_saprotroph	Mucor ambiguus	Mucoromycetes	Mucorales	91626	91626	Mucor ambiguus	strain=NBRC 6742	95.4	0.114	111	40.7	0.421	0.342	0.08	5267913	464.4	64.53	66.35								
GCA_000988165.1	Microsporidia	animal_parasite	Nosema ceranae	Microsporidea	Nosematida	40302	40302	Nosema ceranae	strain=PA08 1199	21.8	0.043	35	5.7	0.408	0.349	0.06	833742	259.8	71.17	71.85		#REF!						
GCA_001432165.1	Microsporidia	animal_parasite	Pseudoloma neurophilia	Microsporidea	Glugeida	146866	146866	Pseudoloma neurophilia	strain=MK1	10.7	0.006	182	5.2	0.261	0.251	0.01	958467	263.0	70.87	71.30								
GCA_001477545.1	Ascomycota	animal_parasite	Pneumocystis carinii B80	Pneumocystomycetes	Pneumocystidales	1408658	4754	Pneumocystis carinii B80	strain=B80	89.7	0.465	7	7.7	0.682	0.534	0.15	1693433	464.5	64.97	65.75								
GCA_001566745.1	Entomophthoromycota	animal_parasite	Conidiobolus coronatus NRRL 28638	Entomophthoromycetes	Entomophthorales	796925	34488	Conidiobolus coronatus NRRL 28638	strain=NRRL 28638	78.6	0.102	113	39.9	0.425	0.352	0.07	3653618	345.6	71.56	72.50								
GCA_001574975.1	Monoblepharomycota	litter_saprotroph	Gonapodya prolifera JEL478	Monoblepharidomycetes	Monoblepharidales	1344416	1123529	Gonapodya prolifera JEL478	strain=JEL478	76.6	0.347	42	48.8	0.325	0.396	-0.07	5702108	412.3	65.47	67.10								
GCA_001638985.2	Mucoromycota	dung_saprotroph	Phycomyces blakesleeanus NRRL 1555(-)	Mucoromycetes	Mucorales	763407	4837	Phycomyces blakesleeanus NRRL 1555(-)	strain=NRRL 1555(-)	96.9	1.516	11	53.9	0.295	0.253	0.04	5836726	352.8	71.43	71.00								
GCA_001642395.1	Microsporidia	animal_parasite	Nematocida displodere	Microsporidea	Ovavesiculida	1805483	1805483	Nematocida displodere	strain=JUm2807	21.2	0.441	3	3.1	0.426	0.380	0.05	877974	385.4	73.04	72.40								
GCA_001642415.1	Microsporidia	animal_parasite	Nematocida sp, ERTm5	Microsporidea	Ovavesiculida	1805481	1805481	Nematocida sp, ERTm5	strain=ERTm5	20.4	0.099	15	4.4	0.463	0.393	0.07	1065580	393.3	72.95	71.90								
GCA_001651415.1	Mortierellomycota	soil_saprotroph	Linnemannia elongata AG-77	Mortierellomycetes	Mortierellales	1314771	310910	Linnemannia elongata AG-77	strain=AG-77	96.6	0.517	31	49.9	0.338	0.292	0.05	6821023	455.9	70.07	73.00								
GCA_001683725.1	Mucoromycota	litter_saprotroph	Choanephora cucurbitarum	Mucoromycetes	Mucorales	101091	101091	Choanephora cucurbitarum	strain=KUS-F28377	94.2	0.028	322	29.1	0.193	0.197	0.00	4756906	397.2	69.48	69.00								
GCA_001875675.1	Microsporidia	protistan_parasite	Amphiamblys sp, WSBS2006	Rudimicrosporea	Metchnikovellida	1866961	1866961	Amphiamblys sp, WSBS2006		19.4	0.012	114	5.6	0.458	0.415	0.04	1190119	326.8	69.88	71.20								
GCA_001929475.1	Ascomycota	plant_pathogen	Neolecta irregularis DAH-3	Neolectomycetes	Neolectales	1198029	48691	Neolecta irregularis DAH-3	strain=DAH-3	83.1	0.017	212	14.2	0.589	0.475	0.11	2326161	416.9	61.28	61.70								
GCA_001953115.1	Kickxellomycota	animal_endosymbiont	Smittium mucronatum	Harpellomycetes	Harpellales	133383	133383	Smittium mucronatum	strain=ALG-7-W6	66.6	0.023	1304	102.4	0.476	0.389	0.09	3283671	398.4	67.80	70.55								
GCA_001969505.1	Kickxellomycota	animal_endosymbiont	Zancudomyces culisetae	Harpellomycetes	Harpellales	1213189	1213189	Zancudomyces culisetae	strain=COL-18-3	67.8	0.026	323	28.7	0.410	0.333	0.08	3123320	387.2	68.15	69.80								
GCA_001970855.1	Kickxellomycota	animal_endosymbiont	Smittium culicis	Harpellomycetes	Harpellales	133412	133412	Smittium culicis	strain=GSMNP	70.5	0.02	1182	77.1	0.469	0.388	0.08	4854784	399.3	68.36	69.80								
GCA_002081675.1	Microsporidia	animal_parasite	Enterocytozoon hepatopenaei	Microsporidea	Nosematida	646526	646526	Enterocytozoon hepatopenaei	strain=TH1	13.1	0.125	10	3.3	0.512	0.399	0.11	776682	306.3	67.25	68.25								
GCA_002087885.1	Microsporidia	animal_parasite	Hepatospora eriocheir	Microsporidea	Nosematida	1081669	1081669	Hepatospora eriocheir	strain=GB1	10.1	0.017	78	4.6	0.341	0.256	0.08	626230	232.7	62.02	61.25								
GCA_002087915.1	Microsporidia	animal_parasite	Enterospora canceri	Microsporidea	Nosematida	1081671	1081671	Enterospora canceri	strain=GB1	13.3	0.027	33	3.1	0.247	0.215	0.03	605618	279.2	68.91	69.20								
GCA_002102555.1	Blastocladiomycota	animal_parasite	Catenaria anguillulae PL171	Blastocladiomycetes	Blastocladiales	765915	109876	Catenaria anguillulae PL171	strain=PL171	71.4	0.218	41	41.3	0.165	0.168	0.00	4957495	388.4	63.19	70.50								
GCA_002104895.1	Neocallimastigomycota	animal_endosymbiont	Anaeromyces robustus	Neocallimastigomycetes	Neocallimastigales	1754192	1754192	Anaeromyces robustus	strain=S4	81.5	0.142	158	71.7	0.107	0.084	0.02	6538687	509.5	70.60	70.55								
GCA_002104905.1	Basidiobolomycota	unspecified_saprotroph	Basidiobolus meristosporus CBS 931,73	Basidiobolomycetes	Basidiobolales	1314790	423460	Basidiobolus meristosporus CBS 931,73	strain=CBS 931,73	94.6	0.106	272	89.5	0.303	0.260	0.04	6046698	375.3	69.63	73.00								
GCA_002104935.1	Mucoromycota	soil_saprotroph	Hesseltinella vesiculosa	Mucoromycetes	Mucorales	101127	101127	Hesseltinella vesiculosa	strain=NRRL 3301	93.8	0.571	14	27.2	0.422	0.358	0.06	4453580	399.8	69.90	70.30								
GCA_002104945.1	Neocallimastigomycota	animal_endosymbiont	Piromyces finnis	Neocallimastigomycetes	Neocallimastigales	1754191	1754191	Piromyces finnis	strain=finn	84.7	0.75	25	56.5	0.067	0.074	-0.01	5701896	519.4	71.35	69.60								
GCA_002104975.1	Neocallimastigomycota	animal_endosymbiont	Neocallimastix californiae	Neocallimastigomycetes	Neocallimastigales	1754190	1754190	Neocallimastix californiae	strain=G1	84.7	0.443	134	193	0.104	0.123	-0.02	9775908	483.6	62.19	67.70								
GCA_002104985.1	Chytridiomycota	litter_saprotroph	Rhizoclosmatium globosum	Chytridiomycetes	Chytridiales	329046	329046	Rhizoclosmatium globosum	strain=JEL800	75.9	0.292	51	57	0.370	0.298	0.07	6689271	393.8	63.32	65.80								
GCA_002104995.1	Kickxellomycota	soil_saprotroph	Linderina pennispora	Kickxellomycetes	Kickxellales	61395	61395	Linderina pennispora	strain=ATCC 12442	80.4	0.909	9	26.2	0.288	0.281	0.01	3598792	384.9	69.05	68.40								
GCA_002105135.1	Mucoromycota	soil_saprotroph	Syncephalastrum racemosum	Mucoromycetes	Mucorales	13706	13706	Syncephalastrum racemosum	strain=NRRL 2496	93.9	2.374	5	30.7	0.389	0.330	0.06	4498230	404.5	72.75	73.45								
GCA_002105155.1	Mortierellomycota	soil_saprotroph	Lobosporangium transversale	Mortierellomycetes	Mortierellales	64571	64571	Lobosporangium transversale	strain=NRRL 3116	95.6	0.673	22	42.8	0.416	0.350	0.07	5530382	467.8	71.32	73.00								
GCA_002105175.1	Mucoromycota	soil_saprotroph	Absidia repens	Mucoromycetes	Mucorales	90262	90262	Absidia repens	strain=NRRL 1336	96.2	1.295	11	47.4	0.391	0.331	0.06	6254585	419.3	68.75	69.60								
GCA_002157105.1	Neocallimastigomycota	animal_endosymbiont	Piromyces sp, E2	Neocallimastigomycetes	Neocallimastigales	73868	73868	Piromyces sp, E2	strain=E2	49.8	0.144	143	71	0.123	0.133	-0.01	5646846	386.5	62.54	66.00								
GCA_002261195.1	Mucoromycota	soil_saprotroph	Bifiguratus adelaidae	Mucoromycota class incertae sedis	Mucoromycota order incertae sedis	1938954	1938954	Bifiguratus adelaidae	strain=AZ0501	93.9	0.102	44	19.5	0.565	0.473	0.09	3128896	547.1	66.17	68.90								
GCA_002705745.1	Kickxellomycota	soil_saprotroph	Coemansia reversa NRRL 1564	Kickxellomycetes	Kickxellales	763665	61392	Coemansia reversa NRRL 1564	strain=NRRL 1564	88.2	0.347	21	21.8	0.353	0.311	0.04	3001892	408.9	69.07	70.45								
GCA_002708625.1	Mucoromycota	soil_saprotroph	Rhizopus microsporus ATCC 52813	Mucoromycetes	Mucorales	1340429	58291	Rhizopus microsporus ATCC 52813	strain=ATCC 52813	96	1.118	8	26	0.400	0.394	0.01	4095312	376.0	72.25	71.70								
GCA_002794465.1	Rozellomycota	protistan_parasite	Paramicrosporidium saccamoebae	Rozellomycota class incertae sedis	Rozellomycota order incertae sedis	1246581	1246581	Paramicrosporidium saccamoebae	strain=KSL3	54.3	0.07	29	7.2	0.485	0.411	0.07	1675546	444.9	68.57	70.70								
GCA_003086715.1	Kickxellomycota	animal_endosymbiont	Smittium megazygosporum	Harpellomycetes	Harpellales	133381	133381	Smittium megazygosporum	strain=SC-DP-2	67.3	0.025	441	43.5	0.488	0.407	0.08	3236032	453.7	71.33	71.00								
GCA_003086725.1	Kickxellomycota	animal_endosymbiont	Furculomyces boomerangus	Harpellomycetes	Harpellales	61424	61424	Furculomyces boomerangus	strain=AUS-77-4	75.2	0.044	194	28.1	0.372	0.303	0.07	3586618	488.8	68.20	69.80								
GCA_003086735.1	Kickxellomycota	animal_endosymbiont	Smittium simulii	Harpellomycetes	Harpellales	133385	133385	Smittium simulii	strain=SWE-8-4	68.7	0.084	167	43.9	0.512	0.413	0.10	2994244	459.3	65.93	68.20								
GCA_003097675.1	Kickxellomycota	animal_endosymbiont	Smittium angustum	Harpellomycetes	Harpellales	133377	133377	Smittium angustum	strain=AUS-126-30	75.6	0.044	187	28	0.492	0.397	0.10	3618225	489.9	67.15	69.80								
GCA_003325435.1	Mucoromycota	soil_saprotroph	Rhizopus azygosporus	Mucoromycetes	Mucorales	86630	86630	Rhizopus azygosporus	strain=CBS 357,93	92.7	0.013	957	39	0.376	0.280	0.10	6144430	386.6	61.10	63.50								
GCA_003547095.1	Glomeromycota	arbuscular_mycorrhizal	Diversispora epigaea	Glomeromycetes	Diversisporales	1348612	1348612	Diversispora epigaea	strain=IT104	92	0.453	109	156.6	0.259	0.194	0.07	10165599	358.6	62.69	67.35								
GCA_003549995.1	Glomeromycota	arbuscular_mycorrhizal	Rhizophagus sp, MUCL 43196	Glomeromycetes	Glomerales	1803374	1803374	Rhizophagus sp, MUCL 43196	strain=MUCL 43196	93.9	0.137	269	125.9	0.341	0.260	0.08	7543545	327.8	62.59	64.70								
GCA_003550305.1	Glomeromycota	arbuscular_mycorrhizal	Glomus cerebriforme	Glomeromycetes	Glomerales	658196	658196	Glomus cerebriforme	strain=DAOM 227022	94.1	0.148	266	136.8	0.121	0.131	-0.01	6865378	324.5	52.07	48.40								
GCA_003550325.1	Glomeromycota	arbuscular_mycorrhizal	Gigaspora rosea	Glomeromycetes	Gigasporales	44941	44941	Gigaspora rosea	strain=DAOM 194757	93.5	0.232	734	567.9	0.060	0.127	-0.07	9411049	301.2	48.45	49.90								
GCA_003614145.1	Zoopagomycota	mycoparasite	Piptocephalis cylindrospora	Zoopagomycetes	Zoopagales	1907219	1907219	Piptocephalis cylindrospora		42.1	0.011	282	10.7	0.303	0.258	0.05	1605493	373.3	68.10	71.30								
GCA_003614675.1	Kickxellomycota	mycoparasite	Dimargaris cristalligena	Dimargaritomycetes	Dimargaritales	215637	215637	Dimargaris cristalligena	strain=RSA 468	78.4	0.024	395	30.7	0.388	0.314	0.07	2792335	378.2	66.02	71.20								
GCA_003614705.1	Chytridiomycota	algal_parasite	Blyttiomyces helicus	Chytridiomycetes	Chytridiomycetes order incertae sedis	388810	388810	Blyttiomyces helicus		36.3	0.007	1973	46.5	0.315	0.299	0.02	4362072	358.5	62.62	64.70								
GCA_003614735.1	Zoopagomycota	mycoparasite	Thamnocephalis sphaerospora	Zoopagomycetes	Zoopagales	78915	78915	Thamnocephalis sphaerospora	strain=RSA 1356	65.1	0.023	237	18.2	0.291	0.286	0.01	2720188	396.7	72.45	73.50								
GCA_003614755.1	Zoopagomycota	mycoparasite	Syncephalis pseudoplumigaleata	Zoopagomycetes	Zoopagales	1712513	1712513	Syncephalis pseudoplumigaleata	strain=Benny S71-1	49.6	0.006	756	16.3	0.436	0.379	0.06	2108333	344.6	69.67	71.70								
GCA_003615045.1	Chytridiomycota	mycoparasite	Caulochytrium protostelioides	Caulochytriomycetes	Caulochytriales	1555241	1555241	Caulochytrium protostelioides	strain=ATCC 52028	67.7	0.092	68	21.8	0.373	0.336	0.04	3433409	556.6	67.24	67.10								
GCA_003990745.1	Mucoromycota	ectomycorrhizal	Jimgerdemannia flammicorona	Endogonomycetes	Endogonales	994334	994334	Jimgerdemannia flammicorona	strain=GMNB39	69.6	0.011	6348	239.6	0.339	0.412	-0.07	4751653	349.0	61.19	66.20								
GCA_003990785.1	Mucoromycota	soil_saprotroph	Endogone sp, FLAS-F59071	Endogonomycetes	Endogonales	2340872	2340872	Endogone sp, FLAS-F59071	strain=FLAS-F59071	77.2	0.011	2370	95.6	0.435	0.439	0.00	3935448	412.3	63.35	66.70								
GCA_004000155.1	Microsporidia	animal_parasite	Tubulinosema ratisbonensis	Microsporidea	Neopereziida	291195	291195	Tubulinosema ratisbonensis	strain=Franzen	16.5	0.012	187	7.6	0.334	0.333	0.00	934403	310.1	71.95	72.20								
